method,event_index,replication,seed,event_time,horizon,relative_gap
bates_granger_mv,0,0,42,200,17,0.8540829530229086
bates_granger_mv,0,0,42,200,18,0.8516593654745619
bates_granger_mv,0,0,42,200,19,0.8549232476554574
bates_granger_mv,0,0,42,200,20,0.8134450050540716
bates_granger_mv,0,0,42,200,21,0.8389320252577325
bates_granger_mv,0,0,42,200,22,0.821032110909746
bates_granger_mv,0,0,42,200,23,0.8608155199568482
bates_granger_mv,0,0,42,200,24,0.9499498471400243
bates_granger_mv,0,0,42,200,25,0.9470269284422196
bates_granger_mv,0,0,42,200,26,0.9699794975978733
bates_granger_mv,0,0,42,200,27,0.9687890815234852
bates_granger_mv,0,0,42,200,28,1.030549701253788
bates_granger_mv,0,0,42,200,29,1.1084476919359183
bates_granger_mv,0,0,42,200,30,1.0895835512326546
bates_granger_mv,0,0,42,200,31,0.8713181577524434
bates_granger_mv,0,0,42,200,32,0.7942504551342419
bates_granger_mv,0,0,42,200,33,0.7409207170550836
bates_granger_mv,0,0,42,200,34,0.8343916985514218
bates_granger_mv,0,0,42,200,35,0.6600477022598801
bates_granger_mv,0,0,42,200,36,0.7445648630135664
bates_granger_mv,0,0,42,200,37,0.722815921658119
bates_granger_mv,0,0,42,200,38,0.7181760208651169
bates_granger_mv,0,0,42,200,39,0.7409679591496772
bates_granger_mv,0,0,42,200,40,0.7460087915928321
bates_granger_mv,0,0,42,200,41,0.5960589580147199
bates_granger_mv,0,0,42,200,42,0.5485029792167541
bates_granger_mv,0,0,42,200,43,0.5201245268418742
bates_granger_mv,0,0,42,200,44,0.9420571829451785
bates_granger_mv,0,0,42,200,45,0.8524979814102611
bates_granger_mv,0,0,42,200,46,0.9885291538062413
bates_granger_mv,0,0,42,200,47,0.9157241880493361
bates_granger_mv,0,0,42,200,48,0.8096185538230397
bates_granger_mv,0,0,42,200,49,0.5985488773674402
bates_granger_mv,0,0,42,200,50,0.5463381185512394
bates_granger_mv,0,0,42,200,51,0.5104604075079479
bates_granger_mv,0,0,42,200,52,0.5389905860104646
bates_granger_mv,0,0,42,200,53,0.5405558637319609
bates_granger_mv,0,0,42,200,54,0.6406004153269763
bates_granger_mv,0,0,42,200,55,0.6341418434944125
bates_granger_mv,0,0,42,200,56,0.6510756274933611
bates_granger_mv,0,0,42,200,57,0.5520301531265362
bates_granger_mv,0,0,42,200,58,0.536632313467169
bates_granger_mv,0,0,42,200,59,0.5328307959915729
bates_granger_mv,0,0,42,200,60,0.43876445922466906
bates_granger_mv,0,0,42,200,61,0.45662801148114623
bates_granger_mv,0,0,42,200,62,0.5437784155102993
bates_granger_mv,0,0,42,200,63,0.488620809480235
bates_granger_mv,0,0,42,200,64,0.5196838023181042
bates_granger_mv,0,0,42,200,65,0.5058576494487086
bates_granger_mv,0,0,42,200,66,0.4924676792396696
bates_granger_mv,0,0,42,200,67,0.5141407022412839
bates_granger_mv,0,0,42,200,68,0.48359035691175806
bates_granger_mv,0,0,42,200,69,0.5216621069904152
bates_granger_mv,0,0,42,200,70,0.511458953548944
bates_granger_mv,0,0,42,200,71,0.5056810012337816
bates_granger_mv,0,0,42,200,72,0.5261611994738659
bates_granger_mv,0,0,42,200,73,0.5076451015463782
bates_granger_mv,0,0,42,200,74,0.5325880609904561
bates_granger_mv,0,0,42,200,75,0.48379917189291954
bates_granger_mv,0,0,42,200,76,0.49839989232322274
bates_granger_mv,0,0,42,200,77,0.5209796706806344
bates_granger_mv,0,0,42,200,78,0.4594703747387999
bates_granger_mv,0,0,42,200,79,0.5574743412795722
var_error,0,0,42,200,0,1.0
var_error,0,0,42,200,1,1.5116998780173938
var_error,0,0,42,200,2,1.4620349214374788
var_error,0,0,42,200,3,1.9203288534550198
var_error,0,0,42,200,4,2.005195619134478
var_error,0,0,42,200,5,1.4311950305108303
var_error,0,0,42,200,6,0.6964738472935502
var_error,0,0,42,200,7,1.2801046659276973
var_error,0,0,42,200,8,1.0050559012435882
var_error,0,0,42,200,9,1.9186048301996
var_error,0,0,42,200,10,1.1724008886434925
var_error,0,0,42,200,11,1.0901280930602162
var_error,0,0,42,200,12,0.8636838482524946
var_error,0,0,42,200,13,0.9246346752599048
var_error,0,0,42,200,14,0.7727627697794897
var_error,0,0,42,200,15,0.5507688481197094
var_error,0,0,42,200,16,0.8492733533400242
var_error,0,0,42,200,17,0.9835104734844753
var_error,0,0,42,200,18,0.5346744254274635
var_error,0,0,42,200,19,0.8765573986735048
var_error,0,0,42,200,20,0.9654534382922181
var_error,0,0,42,200,21,1.0093693105205779
var_error,0,0,42,200,22,0.7666413410052686
var_error,0,0,42,200,23,0.7899449127241146
var_error,0,0,42,200,24,1.2078315458068252
var_error,0,0,42,200,25,0.9749830859456814
var_error,0,0,42,200,26,0.9388764928846518
var_error,0,0,42,200,27,1.127784900438018
var_error,0,0,42,200,28,1.2756406494666115
var_error,0,0,42,200,29,0.7878312979091026
var_error,0,0,42,200,30,2.3633734537805697
var_error,0,0,42,200,31,0.8502991127189676
var_error,0,0,42,200,32,1.2971500970322951
var_error,0,0,42,200,33,1.1552260704354205
var_error,0,0,42,200,34,0.8248700615941983
var_error,0,0,42,200,35,0.4823563348075319
var_error,0,0,42,200,36,0.726466097293602
var_error,0,0,42,200,37,1.032172369129868
var_error,0,0,42,200,38,0.5185248746453919
var_error,0,0,42,200,39,0.9130748968830016
var_error,0,0,42,200,40,0.7534818413695737
var_error,0,0,42,200,41,1.3313222183641809
var_error,0,0,42,200,42,0.7519774116466245
var_error,0,0,42,200,43,0.6860045571971787
var_error,0,0,42,200,44,1.5861753140564538
var_error,0,0,42,200,45,1.833089665247176
var_error,0,0,42,200,46,0.7423979142282173
var_error,0,0,42,200,47,0.24917147759326336
var_error,0,0,42,200,48,0.4401670896259611
var_error,0,0,42,200,49,0.380278552785501
var_error,0,0,42,200,50,0.5595310978091327
var_error,0,0,42,200,51,0.42174687941652383
var_error,0,0,42,200,52,1.3194094375959224
var_error,0,0,42,200,53,1.4201986520265124
var_error,0,0,42,200,54,1.0798567589928187
var_error,0,0,42,200,55,0.1503589777851278
var_error,0,0,42,200,56,0.40622390995911084
var_error,0,0,42,200,57,0.5827897326319711
var_error,0,0,42,200,58,1.4614731528158724
var_error,0,0,42,200,59,1.0278676779761065
var_error,0,0,42,200,60,0.2303229583469713
var_error,0,0,42,200,61,1.512366045517035
var_error,0,0,42,200,62,4.154946978822105
var_error,0,0,42,200,63,0.19345107121442348
var_error,0,0,42,200,64,1.0813470989863658
var_error,0,0,42,200,65,0.10724560861264365
var_error,0,0,42,200,66,0.5128603202089042
var_error,0,0,42,200,67,0.4705605906317809
var_error,0,0,42,200,68,0.10935143035526422
var_error,0,0,42,200,69,0.3913698621662594
var_error,0,0,42,200,70,0.8749649195335572
var_error,0,0,42,200,71,0.14558623541459648
var_error,0,0,42,200,72,0.525324512293408
var_error,0,0,42,200,73,0.1445414452480848
var_error,0,0,42,200,74,0.1930131841819098
var_error,0,0,42,200,75,0.5479194126429262
var_error,0,0,42,200,76,0.12555412553556555
var_error,0,0,42,200,77,0.20040512184381015
var_error,0,0,42,200,78,0.07082997355132606
var_error,0,0,42,200,79,0.3706205306984711
graph_only_eigenvector,0,0,42,200,0,1.0
graph_only_eigenvector,0,0,42,200,1,3.509118492765225
graph_only_eigenvector,0,0,42,200,2,1.5760117530476272
graph_only_eigenvector,0,0,42,200,3,2.1696129142791993
graph_only_eigenvector,0,0,42,200,4,1.88282983466653
graph_only_eigenvector,0,0,42,200,5,0.8263042737742305
graph_only_eigenvector,0,0,42,200,6,2.3974897917362794
graph_only_eigenvector,0,0,42,200,7,2.655865045895097
graph_only_eigenvector,0,0,42,200,8,1.324604348835215
graph_only_eigenvector,0,0,42,200,9,1.7136295785060136
graph_only_eigenvector,0,0,42,200,10,0.7995207421274152
graph_only_eigenvector,0,0,42,200,11,2.8258173994393303
graph_only_eigenvector,0,0,42,200,12,2.018217931092554
graph_only_eigenvector,0,0,42,200,13,1.2854041490032422
graph_only_eigenvector,0,0,42,200,14,1.8331289473136831
graph_only_eigenvector,0,0,42,200,15,0.8849199660798355
graph_only_eigenvector,0,0,42,200,16,1.1265197192404892
graph_only_eigenvector,0,0,42,200,17,0.8940185075061888
graph_only_eigenvector,0,0,42,200,18,0.44632601411586603
graph_only_eigenvector,0,0,42,200,19,2.6876419570154018
graph_only_eigenvector,0,0,42,200,20,2.4138099829340005
graph_only_eigenvector,0,0,42,200,21,0.38556942446426085
graph_only_eigenvector,0,0,42,200,22,3.1543645149345068
graph_only_eigenvector,0,0,42,200,23,0.7156468742764238
graph_only_eigenvector,0,0,42,200,24,1.2317517116627934
graph_only_eigenvector,0,0,42,200,25,4.530081132974512
graph_only_eigenvector,0,0,42,200,26,2.4964565353925225
graph_only_eigenvector,0,0,42,200,27,1.8099129856315619
graph_only_eigenvector,0,0,42,200,28,3.0295285290712624
graph_only_eigenvector,0,0,42,200,29,3.1361735046377675
graph_only_eigenvector,0,0,42,200,30,2.9205670413691074
graph_only_eigenvector,0,0,42,200,31,0.7501711374575226
graph_only_eigenvector,0,0,42,200,32,0.6595965732177065
graph_only_eigenvector,0,0,42,200,33,0.6340096532357087
graph_only_eigenvector,0,0,42,200,34,2.0910616672013225
graph_only_eigenvector,0,0,42,200,35,0.5269692548056514
graph_only_eigenvector,0,0,42,200,36,1.2442846891060038
graph_only_eigenvector,0,0,42,200,37,1.1113220921866138
graph_only_eigenvector,0,0,42,200,38,2.6935703082994826
graph_only_eigenvector,0,0,42,200,39,1.120630520381593
graph_only_eigenvector,0,0,42,200,40,2.679015488845983
graph_only_eigenvector,0,0,42,200,41,1.2329740062138481
graph_only_eigenvector,0,0,42,200,42,3.865374368336656
graph_only_eigenvector,0,0,42,200,43,0.4692457888416287
graph_only_eigenvector,0,0,42,200,44,1.459035614159219
graph_only_eigenvector,0,0,42,200,45,2.1075243989346295
graph_only_eigenvector,0,0,42,200,46,0.6445970048150969
graph_only_eigenvector,0,0,42,200,47,2.2292077021367267
graph_only_eigenvector,0,0,42,200,48,0.962898992070823
graph_only_eigenvector,0,0,42,200,49,0.3882474253237202
graph_only_eigenvector,0,0,42,200,50,2.624281226573796
graph_only_eigenvector,0,0,42,200,51,1.7621098427740398
graph_only_eigenvector,0,0,42,200,52,3.284103627783783
graph_only_eigenvector,0,0,42,200,53,0.6403904893453953
graph_only_eigenvector,0,0,42,200,54,1.3007739943832206
graph_only_eigenvector,0,0,42,200,55,3.641313289629892
graph_only_eigenvector,0,0,42,200,56,0.664673479284578
graph_only_eigenvector,0,0,42,200,57,3.9954805342892157
graph_only_eigenvector,0,0,42,200,58,2.668592045021704
graph_only_eigenvector,0,0,42,200,59,2.1304784453733436
graph_only_eigenvector,0,0,42,200,60,1.7766091792937206
graph_only_eigenvector,0,0,42,200,61,3.651758631982944
graph_only_eigenvector,0,0,42,200,62,1.5900368127580962
graph_only_eigenvector,0,0,42,200,63,1.2410565432819065
graph_only_eigenvector,0,0,42,200,64,0.9191904658049638
graph_only_eigenvector,0,0,42,200,65,2.1508747363568173
graph_only_eigenvector,0,0,42,200,66,2.953888808596157
graph_only_eigenvector,0,0,42,200,67,2.3557878639384477
graph_only_eigenvector,0,0,42,200,68,1.618396550776674
graph_only_eigenvector,0,0,42,200,69,1.1098591013765933
graph_only_eigenvector,0,0,42,200,70,1.9693535012815853
graph_only_eigenvector,0,0,42,200,71,1.8088184706447785
graph_only_eigenvector,0,0,42,200,72,0.7008140943659272
graph_only_eigenvector,0,0,42,200,73,0.9869786771774695
graph_only_eigenvector,0,0,42,200,74,2.2880152884172924
graph_only_eigenvector,0,0,42,200,75,3.349314632715893
graph_only_eigenvector,0,0,42,200,76,0.5772774015964471
graph_only_eigenvector,0,0,42,200,77,0.2986630656562877
graph_only_eigenvector,0,0,42,200,78,0.31746056697636577
graph_only_eigenvector,0,0,42,200,79,3.419711837152817
graph_only_pagerank,0,0,42,200,0,1.0
graph_only_pagerank,0,0,42,200,1,1.323600889895349
graph_only_pagerank,0,0,42,200,2,1.1122295251902394
graph_only_pagerank,0,0,42,200,3,1.0647775704553648
graph_only_pagerank,0,0,42,200,4,0.8922572208431799
graph_only_pagerank,0,0,42,200,5,0.8099013998227754
graph_only_pagerank,0,0,42,200,6,0.8827196728883097
graph_only_pagerank,0,0,42,200,7,1.6530786284956844
graph_only_pagerank,0,0,42,200,8,1.3992967971993306
graph_only_pagerank,0,0,42,200,9,1.174131181061314
graph_only_pagerank,0,0,42,200,10,0.778359096975654
graph_only_pagerank,0,0,42,200,11,0.9134138613926968
graph_only_pagerank,0,0,42,200,12,0.8156426986758212
graph_only_pagerank,0,0,42,200,13,0.6115096475860305
graph_only_pagerank,0,0,42,200,14,1.4047206818557372
graph_only_pagerank,0,0,42,200,15,0.7434623567857257
graph_only_pagerank,0,0,42,200,16,1.1589940495282247
graph_only_pagerank,0,0,42,200,17,0.8484318417011711
graph_only_pagerank,0,0,42,200,18,0.6401270329109926
graph_only_pagerank,0,0,42,200,19,0.846092581343665
graph_only_pagerank,0,0,42,200,20,0.7951739586622341
graph_only_pagerank,0,0,42,200,21,0.6191141929064776
graph_only_pagerank,0,0,42,200,22,0.9800643637426945
graph_only_pagerank,0,0,42,200,23,1.0135544514177133
graph_only_pagerank,0,0,42,200,24,1.0218708987170262
graph_only_pagerank,0,0,42,200,25,1.138190842348435
graph_only_pagerank,0,0,42,200,26,1.0433660230477384
graph_only_pagerank,0,0,42,200,27,0.9079760603546164
graph_only_pagerank,0,0,42,200,28,1.159385105548983
graph_only_pagerank,0,0,42,200,29,1.0463220401887432
graph_only_pagerank,0,0,42,200,30,0.7480095271960732
graph_only_pagerank,0,0,42,200,31,0.32976470838812005
graph_only_pagerank,0,0,42,200,32,0.5342202080991535
graph_only_pagerank,0,0,42,200,33,0.440076077419179
graph_only_pagerank,0,0,42,200,34,0.9118267904240362
graph_only_pagerank,0,0,42,200,35,0.3932941958387126
graph_only_pagerank,0,0,42,200,36,0.8056494445500944
graph_only_pagerank,0,0,42,200,37,1.615926032813712
graph_only_pagerank,0,0,42,200,38,0.9480023045961372
graph_only_pagerank,0,0,42,200,39,1.1914204325865803
graph_only_pagerank,0,0,42,200,40,0.8615729037986946
graph_only_pagerank,0,0,42,200,41,0.8024471651340247
graph_only_pagerank,0,0,42,200,42,0.6307926817868656
graph_only_pagerank,0,0,42,200,43,0.6742488610217793
graph_only_pagerank,0,0,42,200,44,0.9027585861044397
graph_only_pagerank,0,0,42,200,45,2.354479481055033
graph_only_pagerank,0,0,42,200,46,0.5268447734763669
graph_only_pagerank,0,0,42,200,47,0.7940485601512869
graph_only_pagerank,0,0,42,200,48,0.779827870820916
graph_only_pagerank,0,0,42,200,49,0.3789112648471438
graph_only_pagerank,0,0,42,200,50,0.4364014134786608
graph_only_pagerank,0,0,42,200,51,0.4833409715649475
graph_only_pagerank,0,0,42,200,52,1.1328657870234287
graph_only_pagerank,0,0,42,200,53,0.3206752143341051
graph_only_pagerank,0,0,42,200,54,0.998414356738364
graph_only_pagerank,0,0,42,200,55,0.46499467070814154
graph_only_pagerank,0,0,42,200,56,0.7108419537682873
graph_only_pagerank,0,0,42,200,57,0.5503909833053865
graph_only_pagerank,0,0,42,200,58,0.5354502063772157
graph_only_pagerank,0,0,42,200,59,1.4892070853096808
graph_only_pagerank,0,0,42,200,60,0.5111257843443952
graph_only_pagerank,0,0,42,200,61,0.4525646394881433
graph_only_pagerank,0,0,42,200,62,0.6767000325231668
graph_only_pagerank,0,0,42,200,63,0.8920676639366049
graph_only_pagerank,0,0,42,200,64,0.8448696734194847
graph_only_pagerank,0,0,42,200,65,0.6847233323382075
graph_only_pagerank,0,0,42,200,66,1.0988663562702523
graph_only_pagerank,0,0,42,200,67,2.439023910538281
graph_only_pagerank,0,0,42,200,68,1.0700119091789229
graph_only_pagerank,0,0,42,200,69,1.0630876296462628
graph_only_pagerank,0,0,42,200,70,1.1032314002154031
graph_only_pagerank,0,0,42,200,71,1.6746989799488545
graph_only_pagerank,0,0,42,200,72,0.7612222810049191
graph_only_pagerank,0,0,42,200,73,0.7624230588846292
graph_only_pagerank,0,0,42,200,74,0.7712693598641986
graph_only_pagerank,0,0,42,200,75,0.6696308103785055
graph_only_pagerank,0,0,42,200,76,0.32316758482624025
graph_only_pagerank,0,0,42,200,77,0.6536199801175953
graph_only_pagerank,0,0,42,200,78,0.6748797244644505
graph_only_pagerank,0,0,42,200,79,0.5893851210360957
graph_only_softmax,0,0,42,200,0,1.0
graph_only_softmax,0,0,42,200,1,0.9102710906607232
graph_only_softmax,0,0,42,200,2,0.7424002138622477
graph_only_softmax,0,0,42,200,3,0.5948813372612919
graph_only_softmax,0,0,42,200,4,0.4487457638697703
graph_only_softmax,0,0,42,200,5,0.5430975685424674
graph_only_softmax,0,0,42,200,6,0.5754258600475323
graph_only_softmax,0,0,42,200,7,4.674652962833874
graph_only_softmax,0,0,42,200,8,0.6762214418144012
graph_only_softmax,0,0,42,200,9,0.4085035480997724
graph_only_softmax,0,0,42,200,10,0.49264407313638897
graph_only_softmax,0,0,42,200,11,0.5335992288743194
graph_only_softmax,0,0,42,200,12,0.42362082185552274
graph_only_softmax,0,0,42,200,13,0.3357399824209022
graph_only_softmax,0,0,42,200,14,0.46025094046861714
graph_only_softmax,0,0,42,200,15,0.39577628178106317
graph_only_softmax,0,0,42,200,16,0.5190660381935578
graph_only_softmax,0,0,42,200,17,0.2699411815338107
graph_only_softmax,0,0,42,200,18,0.22018078672075342
graph_only_softmax,0,0,42,200,19,0.35412437394225205
graph_only_softmax,0,0,42,200,20,0.2265437897380383
graph_only_softmax,0,0,42,200,21,0.5012591708015155
graph_only_softmax,0,0,42,200,22,0.48199423865995916
graph_only_softmax,0,0,42,200,23,0.4525284506524898
graph_only_softmax,0,0,42,200,24,0.6938279853384293
graph_only_softmax,0,0,42,200,25,0.4587110335375145
graph_only_softmax,0,0,42,200,26,0.5243823605166368
graph_only_softmax,0,0,42,200,27,0.3599876843301616
graph_only_softmax,0,0,42,200,28,0.7900699178817339
graph_only_softmax,0,0,42,200,29,0.8108010418769434
graph_only_softmax,0,0,42,200,30,0.6889230947598542
graph_only_softmax,0,0,42,200,31,0.603883920245977
graph_only_softmax,0,0,42,200,32,0.41034033950189064
graph_only_softmax,0,0,42,200,33,0.3425154339167271
graph_only_softmax,0,0,42,200,34,0.38899230265814383
graph_only_softmax,0,0,42,200,35,0.487983977828669
graph_only_softmax,0,0,42,200,36,0.46734689512050526
graph_only_softmax,0,0,42,200,37,0.6370905759881126
graph_only_softmax,0,0,42,200,38,1.0840509070676434
graph_only_softmax,0,0,42,200,39,1.3856931352393294
graph_only_softmax,0,0,42,200,40,1.0284258357639093
graph_only_softmax,0,0,42,200,41,0.5679773649658667
graph_only_softmax,0,0,42,200,42,0.5186450334239103
graph_only_softmax,0,0,42,200,43,0.7924378903070816
graph_only_softmax,0,0,42,200,44,0.6807609329001786
graph_only_softmax,0,0,42,200,45,0.8220348938208901
graph_only_softmax,0,0,42,200,46,0.539685209542339
graph_only_softmax,0,0,42,200,47,0.6195559844300534
graph_only_softmax,0,0,42,200,48,0.4530486573773783
graph_only_softmax,0,0,42,200,49,0.6213686787861659
graph_only_softmax,0,0,42,200,50,0.4547808715370587
graph_only_softmax,0,0,42,200,51,0.47547569098482095
graph_only_softmax,0,0,42,200,52,0.6228355292597666
graph_only_softmax,0,0,42,200,53,0.44552061360949946
graph_only_softmax,0,0,42,200,54,2.620102494363999
graph_only_softmax,0,0,42,200,55,0.30219690439618474
graph_only_softmax,0,0,42,200,56,0.3670321971342872
graph_only_softmax,0,0,42,200,57,0.333459951833762
graph_only_softmax,0,0,42,200,58,0.36562859666626196
graph_only_softmax,0,0,42,200,59,0.862196872209426
graph_only_softmax,0,0,42,200,60,0.3177217389378534
graph_only_softmax,0,0,42,200,61,0.32542913124208334
graph_only_softmax,0,0,42,200,62,0.3087819413671124
graph_only_softmax,0,0,42,200,63,0.7180330180072027
graph_only_softmax,0,0,42,200,64,0.5553631155857819
graph_only_softmax,0,0,42,200,65,0.22114370290885396
graph_only_softmax,0,0,42,200,66,0.44135113824060923
graph_only_softmax,0,0,42,200,67,0.6328854668502539
graph_only_softmax,0,0,42,200,68,0.4668444045426425
graph_only_softmax,0,0,42,200,69,0.5301100456519318
graph_only_softmax,0,0,42,200,70,0.22675242375269744
graph_only_softmax,0,0,42,200,71,1.4198394352769708
graph_only_softmax,0,0,42,200,72,0.18384432270985182
graph_only_softmax,0,0,42,200,73,0.25295757599505186
graph_only_softmax,0,0,42,200,74,0.1519035393871661
graph_only_softmax,0,0,42,200,75,0.11016035633407922
graph_only_softmax,0,0,42,200,76,0.15016441535567973
graph_only_softmax,0,0,42,200,77,0.18018312492950622
graph_only_softmax,0,0,42,200,78,0.2617724062415314
graph_only_softmax,0,0,42,200,79,0.13764527200913518
full_gcsr_eigenvector,0,0,42,200,0,1.0
full_gcsr_eigenvector,0,0,42,200,1,1.0866261913984843
full_gcsr_eigenvector,0,0,42,200,2,0.9999459958887842
full_gcsr_eigenvector,0,0,42,200,3,0.8715670876749081
full_gcsr_eigenvector,0,0,42,200,4,0.845951152789378
full_gcsr_eigenvector,0,0,42,200,5,0.8382769050180128
full_gcsr_eigenvector,0,0,42,200,6,0.9120346790556307
full_gcsr_eigenvector,0,0,42,200,7,1.0683460340652338
full_gcsr_eigenvector,0,0,42,200,8,1.0816940689582297
full_gcsr_eigenvector,0,0,42,200,9,1.0870790319148451
full_gcsr_eigenvector,0,0,42,200,10,0.9693942148595844
full_gcsr_eigenvector,0,0,42,200,11,0.9255554800598387
full_gcsr_eigenvector,0,0,42,200,12,1.0014194078304832
full_gcsr_eigenvector,0,0,42,200,13,0.8134442755051492
full_gcsr_eigenvector,0,0,42,200,14,1.0340336130836625
full_gcsr_eigenvector,0,0,42,200,15,0.9484201933117702
full_gcsr_eigenvector,0,0,42,200,16,1.0258587767429075
full_gcsr_eigenvector,0,0,42,200,17,0.9669313777234271
full_gcsr_eigenvector,0,0,42,200,18,0.9678373070344257
full_gcsr_eigenvector,0,0,42,200,19,0.9657929201386474
full_gcsr_eigenvector,0,0,42,200,20,0.9216892357857094
full_gcsr_eigenvector,0,0,42,200,21,0.8749476486526852
full_gcsr_eigenvector,0,0,42,200,22,0.8725256891349756
full_gcsr_eigenvector,0,0,42,200,23,0.8056207516704966
full_gcsr_eigenvector,0,0,42,200,24,0.8899029716759235
full_gcsr_eigenvector,0,0,42,200,25,0.9795456210104239
full_gcsr_eigenvector,0,0,42,200,26,0.943065376214216
full_gcsr_eigenvector,0,0,42,200,27,1.0235530452285708
full_gcsr_eigenvector,0,0,42,200,28,1.1174953682395117
full_gcsr_eigenvector,0,0,42,200,29,1.206782793343782
full_gcsr_eigenvector,0,0,42,200,30,1.1362754984347878
full_gcsr_eigenvector,0,0,42,200,31,0.6193952829371269
full_gcsr_eigenvector,0,0,42,200,32,0.6009414401344765
full_gcsr_eigenvector,0,0,42,200,33,0.5915681547396979
full_gcsr_eigenvector,0,0,42,200,34,0.8211335127967214
full_gcsr_eigenvector,0,0,42,200,35,0.6346208045715153
full_gcsr_eigenvector,0,0,42,200,36,0.7459091079606512
full_gcsr_eigenvector,0,0,42,200,37,0.7407738579452703
full_gcsr_eigenvector,0,0,42,200,38,0.6997829026510901
full_gcsr_eigenvector,0,0,42,200,39,0.6425091142978157
full_gcsr_eigenvector,0,0,42,200,40,0.8078414341122233
full_gcsr_eigenvector,0,0,42,200,41,0.5953753360139721
full_gcsr_eigenvector,0,0,42,200,42,0.5343410997265046
full_gcsr_eigenvector,0,0,42,200,43,0.488809707894425
full_gcsr_eigenvector,0,0,42,200,44,0.9654154791631114
full_gcsr_eigenvector,0,0,42,200,45,0.8386275901847221
full_gcsr_eigenvector,0,0,42,200,46,0.9389905005209093
full_gcsr_eigenvector,0,0,42,200,47,0.9582686638120351
full_gcsr_eigenvector,0,0,42,200,48,0.8119359801325521
full_gcsr_eigenvector,0,0,42,200,49,0.5848453399400422
full_gcsr_eigenvector,0,0,42,200,50,0.46543520230487495
